B,n_seed,chi2_p_value_mean,chi2_p_value_ci95_low,chi2_p_value_ci95_high,chi2_p_value_sd,chi2_p_value_n,f_asymptotic_p_value_mean,f_asymptotic_p_value_ci95_low,f_asymptotic_p_value_ci95_high,f_asymptotic_p_value_sd,f_asymptotic_p_value_n,bootstrap_lr_p_value_mean,bootstrap_lr_p_value_ci95_low,bootstrap_lr_p_value_ci95_high,bootstrap_lr_p_value_sd,bootstrap_lr_p_value_n,bootstrap_f_p_value_mean,bootstrap_f_p_value_ci95_low,bootstrap_f_p_value_ci95_high,bootstrap_f_p_value_sd,bootstrap_f_p_value_n,abs_diff_boot_lr_vs_chi2_mean,abs_diff_boot_lr_vs_chi2_ci95_low,abs_diff_boot_lr_vs_chi2_ci95_high,abs_diff_boot_lr_vs_chi2_sd,abs_diff_boot_lr_vs_chi2_n
200,2,0.775751856307022,0.694756576531122,0.8567471360829221,0.058441134258816904,2,0.8109310325731379,0.7661458105448146,0.8557162546014613,0.03231421856446183,2,0.835,0.786,0.8839999999999999,0.03535533905932733,2,0.815,0.7562,0.8737999999999999,0.04242640687119281,2,0.059248143692977984,0.02725286391707786,0.09124342346887811,0.02308579519948957,2
500,2,0.775751856307022,0.694756576531122,0.8567471360829221,0.058441134258816904,2,0.8109310325731379,0.7661458105448146,0.8557162546014613,0.03231421856446183,2,0.835,0.7781600000000001,0.8918399999999999,0.041012193308819715,2,0.819,0.7778400000000001,0.8601599999999998,0.029698484809834943,2,0.059248143692977984,0.03509286391707787,0.08340342346887811,0.017428940949997185,2
1000,2,0.775751856307022,0.694756576531122,0.8567471360829221,0.058441134258816904,2,0.8109310325731379,0.7661458105448146,0.8557162546014613,0.03231421856446183,2,0.8180000000000001,0.7474400000000001,0.88856,0.05091168824543139,2,0.808,0.7648800000000001,0.85112,0.03111269837220804,2,0.04224814369297797,0.03181286391707786,0.052683423468878075,0.007529446013385511,2
