B,chi2_p_value,f_asymptotic_p_value,bootstrap_lr_p_value,bootstrap_f_p_value,abs_diff_boot_lr_vs_chi2,B_effective
20,0.372991031608569,0.3592321865322876,0.4,0.4,0.02700896839143102,20
50,0.372991031608569,0.3592321865322876,0.34,0.36,0.03299103160856898,50
100,0.372991031608569,0.3592321865322876,0.38,0.36,0.007008968391431003,100
