seed,B,chi2_p_value,f_asymptotic_p_value,bootstrap_lr_p_value,bootstrap_f_p_value,abs_diff_boot_lr_vs_chi2,B_effective
42,200,0.7344277339723791,0.7880814294974627,0.81,0.785,0.0755722660276209,200
42,500,0.7344277339723791,0.7880814294974627,0.806,0.798,0.0715722660276209,500
42,1000,0.7344277339723791,0.7880814294974627,0.782,0.786,0.04757226602762088,1000
2026,200,0.8170759786416649,0.8337806356488131,0.86,0.845,0.04292402135833506,200
2026,500,0.8170759786416649,0.8337806356488131,0.864,0.84,0.046924021358335066,500
2026,1000,0.8170759786416649,0.8337806356488131,0.854,0.83,0.03692402135833506,1000
