scenario,B,chi2_p_value,f_asymptotic_p_value,bootstrap_lr_p_value,bootstrap_f_p_value,abs_diff_boot_lr_vs_chi2,B_effective
H1_with_break,20,0.11327934297505574,0.09079647585438065,0.15,0.1,0.03672065702494426,20
H1_with_break,50,0.11327934297505574,0.09079647585438065,0.14,0.12,0.026720657024944278,50
H1_with_break,100,0.11327934297505574,0.09079647585438065,0.13,0.09,0.01672065702494427,100
