scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec,perturbation_type
seed,42,baseline_ols,power,500,0.6,0.6,0.5999999999999999,0.992,,496,500,67.61934113502502,uniform
seed,42,baseline_ols,power,500,0.75,0.75,0.6749999999999999,1.0,,500,500,67.0465772151947,uniform
seed,42,baseline_ols,power,500,1.0,1.0,0.6560999999999998,0.996,,498,500,67.4480311870575,uniform
seed,2026,sparse_lasso,type1_error,50,,,,0.04,-0.010000000000000002,2,50,68.85627889633179,
seed,2026,sparse_lasso,type1_error,100,,,,0.06,0.009999999999999995,6,100,136.0662488937378,
seed,2026,sparse_lasso,type1_error,300,,,,0.06333333333333334,0.013333333333333336,19,300,436.2900049686432,
seed,2026,sparse_lasso,type1_error,500,,,,0.042,-0.008,21,500,771.8221457004547,
seed,2026,sparse_lasso,type1_error,1000,,,,0.052,0.001999999999999995,52,1000,1340.2038447856903,
seed,2026,sparse_lasso,type1_error,2000,,,,0.0515,0.0014999999999999944,103,2000,2817.380918741226,
seed,2026,sparse_lasso,power,500,0.1,0.1,0.09999999999999999,0.034,,17,500,744.1084382534027,sparse
seed,2026,sparse_lasso,power,500,0.2,0.2,0.2,0.048,,24,500,751.686420917511,sparse
seed,2026,sparse_lasso,power,500,0.3,0.3,0.3,0.064,,32,500,746.9378719329834,sparse
seed,2026,sparse_lasso,power,500,0.4,0.4,0.39999999999999997,0.106,,53,500,741.5662846565247,sparse
seed,2026,sparse_lasso,power,500,0.5,0.5,0.49999999999999994,0.104,,52,500,775.7631969451904,sparse
seed,2026,sparse_lasso,power,500,0.6,0.6,0.6,0.146,,73,500,743.0700278282166,sparse
seed,2026,sparse_lasso,power,500,0.75,0.75,0.7499999999999999,0.268,,134,500,769.8859841823578,sparse
seed,2026,sparse_lasso,power,500,1.0,1.0,0.9999999999999999,0.57,,285,500,746.4826748371124,sparse
seed,2026,lowrank_rrr,type1_error,50,,,,0.06,0.009999999999999995,3,50,16.39298915863037,
seed,2026,lowrank_rrr,type1_error,100,,,,0.06,0.009999999999999995,6,100,30.99088406562805,
seed,2026,lowrank_rrr,type1_error,300,,,,0.08,0.03,24,300,97.42561388015747,
seed,2026,lowrank_rrr,type1_error,500,,,,0.084,0.034,42,500,165.39835596084595,
seed,2026,lowrank_rrr,type1_error,1000,,,,0.056,0.005999999999999998,56,1000,295.30232191085815,
seed,2026,lowrank_rrr,type1_error,2000,,,,0.0605,0.010499999999999995,121,2000,645.6874032020569,
seed,2026,lowrank_rrr,power,500,0.1,0.1,0.1,0.06,,30,500,165.9522087574005,lowrank
seed,2026,lowrank_rrr,power,500,0.2,0.2,0.2,0.092,,46,500,165.7596402168274,lowrank
seed,2026,lowrank_rrr,power,500,0.3,0.3,0.3,0.128,,64,500,165.96334886550903,lowrank
seed,2026,lowrank_rrr,power,500,0.4,0.4,0.4,0.222,,111,500,165.56998300552368,lowrank
seed,2026,lowrank_rrr,power,500,0.5,0.5,0.5,0.304,,152,500,165.97887420654297,lowrank
seed,2026,lowrank_rrr,power,500,0.6,0.6,0.6,0.488,,244,500,165.69625616073608,lowrank
seed,2026,lowrank_rrr,power,500,0.75,0.75,0.75,0.754,,377,500,165.48714900016785,lowrank
seed,2026,lowrank_rrr,power,500,1.0,1.0,1.0,0.988,,494,500,177.85976767539978,lowrank
seed,2026,baseline_ols_f,type1_error,50,,,,0.06,0.009999999999999995,3,50,1.7396550178527832,
seed,2026,baseline_ols_f,type1_error,100,,,,0.03,-0.020000000000000004,3,100,1.5842771530151367,
seed,2026,baseline_ols_f,type1_error,300,,,,0.043333333333333335,-0.006666666666666668,13,300,1.6110968589782715,
seed,2026,baseline_ols_f,type1_error,500,,,,0.044,-0.006000000000000005,22,500,1.6761929988861084,
seed,2026,baseline_ols_f,type1_error,1000,,,,0.048,-0.0020000000000000018,48,1000,1.7995142936706543,
seed,2026,baseline_ols_f,type1_error,2000,,,,0.043,-0.007000000000000006,86,2000,2.1378350257873535,
seed,2026,baseline_ols_f,power,500,0.1,0.1,0.09999999999999994,0.07,,35,500,1.6584391593933105,uniform
seed,2026,baseline_ols_f,power,500,0.2,0.2,0.19999999999999998,0.252,,126,500,1.6427106857299805,uniform
seed,2026,baseline_ols_f,power,500,0.3,0.3,0.24300000000000002,0.422,,211,500,1.6639840602874756,uniform
seed,2026,baseline_ols_f,power,500,0.4,0.4,0.26244000000000006,0.542,,271,500,1.6729438304901123,uniform
seed,2026,baseline_ols_f,power,500,0.5,0.5,0.2657205,0.616,,308,500,1.6596040725708008,uniform
seed,2026,baseline_ols_f,power,500,0.6,0.6,0.2582803259999999,0.556,,278,500,1.6517672538757324,uniform
seed,2026,baseline_ols_f,power,500,0.75,0.75,0.26150883007500003,0.56,,280,500,1.6787068843841553,uniform
seed,2026,baseline_ols_f,power,500,1.0,1.0,0.2541865828329002,0.516,,258,500,1.6415340900421143,uniform
seed,2026,baseline_ols,type1_error,50,,,,0.04,-0.010000000000000002,2,50,7.618381977081299,
