scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec
seed,42,baseline_ols_f_n10,type1_error,1000,,,,0.054,0.003999999999999997,54,1000,0.3588228225708008
seed,42,baseline_ols_f_n10,type1_error,2000,,,,0.051,0.000999999999999994,102,2000,0.7296509742736816
seed,42,baseline_ols_f_n10,power,500,0.05,0.05,0.05000000000000004,0.074,,37,500,0.19477295875549316
seed,42,baseline_ols_f_n10,power,500,0.1,0.1,0.10000000000000006,0.1,,50,500,0.18506193161010742
seed,42,baseline_ols_f_n10,power,500,0.15,0.15,0.15000000000000002,0.13,,65,500,0.20105504989624023
seed,42,baseline_ols_f_n10,power,500,0.2,0.2,0.2000000000000001,0.282,,141,500,0.18533086776733398
seed,42,baseline_ols_f_n10,power,500,0.3,0.3,0.3,0.662,,331,500,0.18485403060913086
seed,42,baseline_ols_f_n10,power,500,0.5,0.5,0.49999999999999994,0.998,,499,500,0.19328618049621582
seed,42,baseline_ols_f_n20,type1_error,50,,,,0.08,0.03,4,50,0.030188798904418945
seed,42,baseline_ols_f_n20,type1_error,100,,,,0.06,0.009999999999999995,6,100,0.051360130310058594
seed,42,baseline_ols_f_n20,type1_error,300,,,,0.06666666666666667,0.016666666666666663,20,300,0.14231228828430176
seed,42,baseline_ols_f_n20,type1_error,500,,,,0.056,0.005999999999999998,28,500,0.24979400634765625
seed,42,baseline_ols_f_n20,type1_error,1000,,,,0.064,0.013999999999999999,64,1000,0.4746840000152588
seed,42,baseline_ols_f_n20,type1_error,2000,,,,0.0505,0.0005000000000000004,101,2000,0.9065678119659424
seed,42,baseline_ols_f_n20,power,500,0.05,0.05,0.050000000000000044,0.054,,27,500,0.24506378173828125
seed,42,baseline_ols_f_n20,power,500,0.1,0.1,0.10000000000000009,0.066,,33,500,0.23813199996948242
seed,42,baseline_ols_f_n20,power,500,0.15,0.15,0.1500000000000001,0.076,,38,500,0.24396085739135742
seed,42,baseline_ols_f_n20,power,500,0.2,0.2,0.20000000000000012,0.114,,57,500,0.24346494674682617
seed,42,baseline_ols_f_n20,power,500,0.3,0.3,0.3000000000000001,0.25,,125,500,0.2462480068206787
seed,42,baseline_ols_f_n20,power,500,0.5,0.5,0.5000000000000001,0.868,,434,500,0.24023723602294922
seed,42,sparse_lasso_n5,type1_error,50,,,,0.02,-0.030000000000000002,1,50,17.753881216049194
seed,42,sparse_lasso_n5,type1_error,100,,,,0.04,-0.010000000000000002,4,100,33.76238703727722
seed,42,sparse_lasso_n5,type1_error,300,,,,0.04,-0.010000000000000002,12,300,108.56264591217041
seed,42,sparse_lasso_n5,type1_error,500,,,,0.042,-0.008,21,500,185.25613713264465
seed,42,sparse_lasso_n5,type1_error,1000,,,,0.059,0.008999999999999994,59,1000,335.43672227859497
seed,42,sparse_lasso_n5,type1_error,2000,,,,0.053,0.0029999999999999957,106,2000,669.2365009784698
seed,42,sparse_lasso_n5,power,500,0.05,0.05,0.05000000000000002,0.054,,27,500,184.8837788105011
seed,42,sparse_lasso_n5,power,500,0.1,0.1,0.10000000000000003,0.068,,34,500,185.12641525268555
seed,42,sparse_lasso_n5,power,500,0.15,0.15,0.15000000000000002,0.186,,93,500,185.70692992210388
seed,42,sparse_lasso_n5,power,500,0.2,0.2,0.20000000000000007,0.284,,142,500,185.5330629348755
seed,42,sparse_lasso_n5,power,500,0.3,0.3,0.3,0.806,,403,500,186.2000732421875
seed,42,sparse_lasso_n5,power,500,0.5,0.5,0.5,1.0,,500,500,187.24089765548706
seed,42,sparse_lasso_n10,type1_error,50,,,,0.06,0.009999999999999995,3,50,30.173065900802612
seed,42,sparse_lasso_n10,type1_error,100,,,,0.06,0.009999999999999995,6,100,57.01332092285156
seed,42,sparse_lasso_n10,type1_error,300,,,,0.04666666666666667,-0.003333333333333334,14,300,185.18577098846436
seed,42,sparse_lasso_n10,type1_error,500,,,,0.042,-0.008,21,500,315.56403613090515
seed,42,sparse_lasso_n10,type1_error,1000,,,,0.057,0.006999999999999999,57,1000,570.0682780742645
