seed,scenario,model,M,change_scale,delta_mean_abs,delta_max_abs,delta_fro,power,M_effective
7,baseline,baseline_chow_asym_f,10,0.04,0.04,0.04000000000000001,0.13856406460551018,0.0,10
7,baseline,baseline_chow_asym_chi2,10,0.04,0.04,0.04000000000000001,0.13856406460551018,0.0,10
7,baseline,baseline_chow_bootstrap_f,10,0.04,0.04,0.04000000000000001,0.13856406460551018,0.9,10
7,baseline,baseline_chow_bootstrap_lr,10,0.04,0.04,0.04000000000000001,0.13856406460551018,0.9,10
7,baseline,baseline_chow_asym_f,10,0.08,0.08000000000000002,0.08000000000000002,0.2771281292110204,1.0,10
7,baseline,baseline_chow_asym_chi2,10,0.08,0.08000000000000002,0.08000000000000002,0.2771281292110204,1.0,10
7,baseline,baseline_chow_bootstrap_f,10,0.08,0.08000000000000002,0.08000000000000002,0.2771281292110204,1.0,10
7,baseline,baseline_chow_bootstrap_lr,10,0.08,0.08000000000000002,0.08000000000000002,0.2771281292110204,1.0,10
7,baseline,baseline_chow_asym_f,10,0.12,0.12000000000000004,0.12,0.41569219381653055,1.0,10
7,baseline,baseline_chow_asym_chi2,10,0.12,0.12000000000000004,0.12,0.41569219381653055,1.0,10
7,baseline,baseline_chow_bootstrap_f,10,0.12,0.12000000000000004,0.12,0.41569219381653055,1.0,10
7,baseline,baseline_chow_bootstrap_lr,10,0.12,0.12000000000000004,0.12,0.41569219381653055,1.0,10
7,baseline,baseline_chow_asym_f,10,0.16,0.14409394680261328,0.17909448612690843,0.5026537974926157,1.0,10
7,baseline,baseline_chow_asym_chi2,10,0.16,0.14409394680261328,0.17909448612690843,0.5026537974926157,1.0,10
7,baseline,baseline_chow_bootstrap_f,10,0.16,0.14409394680261328,0.17909448612690843,0.5026537974926157,1.0,10
7,baseline,baseline_chow_bootstrap_lr,10,0.16,0.14409394680261328,0.17909448612690843,0.5026537974926157,1.0,10
7,baseline,baseline_chow_asym_f,10,0.2,0.16217849892496525,0.228679523641126,0.5729502782634823,1.0,10
7,baseline,baseline_chow_asym_chi2,10,0.2,0.16217849892496525,0.228679523641126,0.5729502782634823,1.0,10
7,baseline,baseline_chow_bootstrap_f,10,0.2,0.16217849892496525,0.228679523641126,0.5729502782634823,1.0,10
7,baseline,baseline_chow_bootstrap_lr,10,0.2,0.16217849892496525,0.228679523641126,0.5729502782634823,1.0,10
7,sparse,sparse_lasso,10,0.04,0.04,0.04000000000000001,0.20784609690826525,0.0,10
7,sparse,sparse_lasso,10,0.08,0.06929735560845285,0.08734852019508645,0.36344813451043806,1.0,10
7,sparse,sparse_lasso,10,0.12,0.08015583369890722,0.12907448972868427,0.437461983345257,1.0,10
7,sparse,sparse_lasso,10,0.16,0.07781758669971667,0.15694743274089512,0.4414829819711926,1.0,10
7,sparse,sparse_lasso,10,0.2,0.08740950273987472,0.17573308566189205,0.4959211179582913,1.0,10
7,lowrank,lowrank_svd,10,0.04,0.04,0.04000000000000001,0.27712812921102037,0.0,10
7,lowrank,lowrank_svd,10,0.08,0.08,0.08000000000000002,0.5542562584220407,1.0,10
7,lowrank,lowrank_svd,10,0.12,0.07865498439594065,0.08753200510066658,0.5457872451323668,1.0,10
7,lowrank,lowrank_svd,10,0.16,0.07641066980579782,0.08987728574188303,0.5313988856647035,1.0,10
7,lowrank,lowrank_svd,10,0.2,0.07734691204520489,0.09315930228201177,0.5386113562557938,1.0,10
42,baseline,baseline_chow_asym_f,10,0.04,0.03999999999999999,0.04000000000000001,0.13856406460551018,0.0,10
42,baseline,baseline_chow_asym_chi2,10,0.04,0.03999999999999999,0.04000000000000001,0.13856406460551018,0.0,10
42,baseline,baseline_chow_bootstrap_f,10,0.04,0.03999999999999999,0.04000000000000001,0.13856406460551018,0.0,10
42,baseline,baseline_chow_bootstrap_lr,10,0.04,0.03999999999999999,0.04000000000000001,0.13856406460551018,0.0,10
42,baseline,baseline_chow_asym_f,10,0.08,0.08,0.08000000000000002,0.2771281292110204,1.0,10
