seed,B,chi2_p_value,f_asymptotic_p_value,bootstrap_lr_p_value,bootstrap_f_p_value,abs_diff_boot_lr_vs_chi2,B_effective
7,10,0.8412707766519214,0.8693114295319373,0.6,0.6,0.24127077665192143,10
7,20,0.8412707766519214,0.8693114295319373,0.8,0.8,0.04127077665192136,20
42,10,0.7541535836769294,0.7482384323142482,0.7,0.7,0.05415358367692946,10
42,20,0.7541535836769294,0.7482384323142482,0.7,0.7,0.05415358367692946,20
2026,10,0.509665290784815,0.5859982020921851,0.7,0.7,0.19033470921518492,10
2026,20,0.509665290784815,0.5859982020921851,0.6,0.6,0.09033470921518494,20
