scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec,perturbation_type
seed,2026,baseline_ols_f,power,500,0.5,0.5,0.49999999999999994,0.964,,482,500,1.6687989234924316,uniform
seed,2026,baseline_ols,type1_error,50,,,,0.04,-0.010000000000000002,2,50,5.513047933578491,
seed,2026,baseline_ols,type1_error,100,,,,0.05,0.0,5,100,9.55655288696289,
seed,2026,baseline_ols,type1_error,300,,,,0.03666666666666667,-0.013333333333333336,11,300,27.24764394760132,
seed,2026,baseline_ols,type1_error,500,,,,0.03,-0.020000000000000004,15,500,45.126726150512695,
seed,2026,baseline_ols,type1_error,1000,,,,0.046,-0.0040000000000000036,46,1000,80.04943990707397,
seed,2026,baseline_ols,type1_error,2000,,,,0.038,-0.012000000000000004,76,2000,159.04703736305237,
seed,2026,baseline_ols,power,500,0.05,0.05,0.05000000000000004,0.038,,19,500,45.14842891693115,uniform
seed,2026,baseline_ols,power,500,0.1,0.1,0.10000000000000006,0.066,,33,500,45.032530069351196,uniform
seed,2026,baseline_ols,power,500,0.15,0.15,0.15000000000000008,0.082,,41,500,45.28808307647705,uniform
seed,2026,baseline_ols,power,500,0.2,0.2,0.2000000000000001,0.116,,58,500,45.1681809425354,uniform
seed,2026,baseline_ols,power,500,0.3,0.3,0.3,0.284,,142,500,45.43066191673279,uniform
seed,2026,baseline_ols,power,500,0.5,0.5,0.49999999999999994,0.904,,452,500,45.07942295074463,uniform
seed,2026,sparse_lasso,type1_error,50,,,,0.06,0.009999999999999995,3,50,65.57736611366272,
seed,2026,sparse_lasso,type1_error,100,,,,0.06,0.009999999999999995,6,100,129.61409211158752,
seed,2026,sparse_lasso,type1_error,300,,,,0.06,0.009999999999999995,18,300,415.1950650215149,
seed,2026,sparse_lasso,type1_error,500,,,,0.062,0.011999999999999997,31,500,724.5881741046906,
seed,2026,sparse_lasso,type1_error,1000,,,,0.036,-0.014000000000000005,36,1000,1273.491070985794,
seed,2026,sparse_lasso,type1_error,2000,,,,0.049,-0.0010000000000000009,98,2000,2701.9726600646973,
seed,2026,sparse_lasso,power,500,0.05,0.05,0.04999999999999998,0.046,,23,500,704.8974940776825,sparse
seed,2026,sparse_lasso,power,500,0.1,0.1,0.1,0.05,,25,500,722.9818139076233,sparse
seed,2026,sparse_lasso,power,500,0.15,0.15,0.15,0.062,,31,500,705.7245492935181,sparse
seed,2026,sparse_lasso,power,500,0.2,0.2,0.2,0.07,,35,500,705.9414558410645,sparse
seed,2026,sparse_lasso,power,500,0.3,0.3,0.30000000000000004,0.096,,48,500,742.3038289546967,sparse
seed,2026,sparse_lasso,power,500,0.5,0.5,0.5,0.178,,89,500,705.5117039680481,sparse
seed,2026,lowrank_svd,type1_error,50,,,,0.04,-0.010000000000000002,2,50,7.615393877029419,
seed,2026,lowrank_svd,type1_error,100,,,,0.04,-0.010000000000000002,4,100,13.379698753356934,
seed,2026,lowrank_svd,type1_error,300,,,,0.05333333333333334,0.003333333333333334,16,300,39.58747100830078,
seed,2026,lowrank_svd,type1_error,500,,,,0.046,-0.0040000000000000036,23,500,66.41852498054504,
seed,2026,lowrank_svd,type1_error,1000,,,,0.052,0.001999999999999995,52,1000,119.52466416358948,
seed,2026,lowrank_svd,type1_error,2000,,,,0.057,0.006999999999999999,114,2000,235.77262806892395,
seed,2026,lowrank_svd,power,500,0.05,0.05,0.05,0.038,,19,500,66.29242277145386,lowrank
seed,2026,lowrank_svd,power,500,0.1,0.1,0.10000000000000002,0.046,,23,500,65.96173310279846,lowrank
seed,2026,lowrank_svd,power,500,0.15,0.15,0.15000000000000002,0.07,,35,500,66.31887984275818,lowrank
seed,2026,lowrank_svd,power,500,0.2,0.2,0.20000000000000004,0.086,,43,500,66.31504106521606,lowrank
seed,2026,lowrank_svd,power,500,0.3,0.3,0.30000000000000004,0.15,,75,500,66.39712166786194,lowrank
seed,2026,lowrank_svd,power,500,0.5,0.5,0.5000000000000001,0.33,,165,500,66.44836592674255,lowrank
