scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec
seed,42,lowrank_svd_n10,type1_error,1000,,,,0.068,0.018000000000000002,68,1000,62.66272783279419
seed,42,lowrank_svd_n10,type1_error,2000,,,,0.061,0.010999999999999996,122,2000,125.2874608039856
seed,42,lowrank_svd_n10,power,500,0.05,0.05,0.050000000000000024,0.064,,32,500,34.6412308216095
seed,42,lowrank_svd_n10,power,500,0.1,0.1,0.10000000000000003,0.048,,24,500,34.6826868057251
seed,42,lowrank_svd_n10,power,500,0.15,0.15,0.15,0.092,,46,500,34.63654923439026
seed,42,lowrank_svd_n10,power,500,0.2,0.2,0.20000000000000007,0.124,,62,500,34.67622399330139
seed,42,lowrank_svd_n10,power,500,0.3,0.3,0.3,0.364,,182,500,34.76906371116638
seed,42,lowrank_svd_n10,power,500,0.5,0.5,0.5,0.98,,490,500,34.693280935287476
seed,42,lowrank_svd_n20,type1_error,50,,,,0.04,-0.010000000000000002,2,50,4.326307058334351
seed,42,lowrank_svd_n20,type1_error,100,,,,0.11,0.06,11,100,8.536626815795898
seed,42,lowrank_svd_n20,type1_error,300,,,,0.09,0.039999999999999994,27,300,27.31949734687805
seed,42,lowrank_svd_n20,type1_error,500,,,,0.072,0.021999999999999992,36,500,46.33597207069397
seed,42,lowrank_svd_n20,type1_error,1000,,,,0.067,0.017,67,1000,83.95176911354065
seed,42,lowrank_svd_n20,type1_error,2000,,,,0.074,0.023999999999999994,148,2000,167.25885581970215
seed,42,lowrank_svd_n20,power,500,0.05,0.05,0.05000000000000002,0.082,,41,500,46.382177114486694
seed,42,lowrank_svd_n20,power,500,0.1,0.1,0.1,0.07,,35,500,46.2722008228302
seed,42,lowrank_svd_n20,power,500,0.15,0.15,0.14999999999999997,0.1,,50,500,46.31564402580261
seed,42,lowrank_svd_n20,power,500,0.2,0.2,0.2,0.092,,46,500,46.280922174453735
seed,42,lowrank_svd_n20,power,500,0.3,0.3,0.29999999999999993,0.172,,86,500,46.39957404136658
seed,42,lowrank_svd_n20,power,500,0.5,0.5,0.5000000000000001,0.9,,450,500,46.38852906227112
