scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,seed_count,target_fro_mean,actual_fro_mean
aggregate,,baseline_ols_f_n5,type1_error,1000,,,,0.06,0.0,0.009999999999999995,60.0,1000.0,0.33563995361328125,1,,
aggregate,,baseline_ols_f_n5,type1_error,2000,,,,0.056,0.0,0.005999999999999998,112.0,2000.0,0.6696078777313232,1,,
aggregate,,baseline_ols_f_n5,power,500,0.05,0.05,,0.048,0.0,,24.0,500.0,0.18184590339660645,1,0.05,0.05000000000000003
aggregate,,baseline_ols_f_n5,power,500,0.1,0.1,,0.142,0.0,,71.0,500.0,0.1734309196472168,1,0.1,0.10000000000000005
aggregate,,baseline_ols_f_n5,power,500,0.15,0.15,,0.264,0.0,,132.0,500.0,0.17264771461486816,1,0.15,0.15000000000000002
aggregate,,baseline_ols_f_n5,power,500,0.2,0.2,,0.538,0.0,,269.0,500.0,0.17619562149047852,1,0.2,0.20000000000000007
aggregate,,baseline_ols_f_n5,power,500,0.3,0.3,,0.948,0.0,,474.0,500.0,0.1823899745941162,1,0.3,0.3
aggregate,,baseline_ols_f_n5,power,500,0.5,0.5,,1.0,0.0,,500.0,500.0,0.1705942153930664,1,0.5,0.5
aggregate,,baseline_ols_f_n10,type1_error,50,,,,0.1,0.0,0.05,5.0,50.0,0.024255037307739258,1,,
aggregate,,baseline_ols_f_n10,type1_error,100,,,,0.03,0.0,-0.020000000000000004,3.0,100.0,0.04179096221923828,1,,
aggregate,,baseline_ols_f_n10,type1_error,300,,,,0.043333333333333335,0.0,-0.006666666666666668,13.0,300.0,0.1238868236541748,1,,
aggregate,,baseline_ols_f_n10,type1_error,500,,,,0.052,0.0,0.001999999999999995,26.0,500.0,0.19222283363342285,1,,
aggregate,,baseline_ols_f_n10,type1_error,1000,,,,0.05,0.0,0.0,50.0,1000.0,0.3817918300628662,1,,
aggregate,,baseline_ols_f_n10,type1_error,2000,,,,0.0415,0.0,-0.0085,83.0,2000.0,0.7624759674072266,1,,
aggregate,,baseline_ols_f_n10,power,500,0.05,0.05,,0.082,0.0,,41.0,500.0,0.23250484466552734,1,0.05,0.05000000000000004
aggregate,,baseline_ols_f_n10,power,500,0.1,0.1,,0.076,0.0,,38.0,500.0,0.2152261734008789,1,0.1,0.10000000000000006
aggregate,,baseline_ols_f_n10,power,500,0.15,0.15,,0.15,0.0,,75.0,500.0,0.20031213760375977,1,0.15,0.15000000000000002
aggregate,,baseline_ols_f_n10,power,500,0.2,0.2,,0.27,0.0,,135.0,500.0,0.20057392120361328,1,0.2,0.2000000000000001
aggregate,,baseline_ols_f_n10,power,500,0.3,0.3,,0.626,0.0,,313.0,500.0,0.1988542079925537,1,0.3,0.3
aggregate,,baseline_ols_f_n10,power,500,0.5,0.5,,0.998,0.0,,499.0,500.0,0.20449590682983398,1,0.5,0.49999999999999994
aggregate,,baseline_ols_f_n20,type1_error,50,,,,0.04,0.0,-0.010000000000000002,2.0,50.0,0.030637741088867188,1,,
