Date,SPY,EFA,EEM,AGG,TLT,TIP,GLD,VNQ,USO
2017-09-07,217.569,58.997,38.1995,101.309,105.806,104.82,128.13,69.6136,80.24
2017-09-08,217.311,59.0048,37.9466,101.18,105.585,104.84,127.97,69.6707,77.84
2017-09-11,219.628,59.4696,38.454,100.92,104.312,104.424,126.19,70.3117,78.56
2017-09-12,220.383,59.6515,38.4109,100.772,103.791,104.256,126.56,69.483,78.96
2017-09-13,220.479,59.3287,38.2086,100.672,103.362,104.048,125.61,69.3001,80.56
2017-09-14,220.412,59.4334,38.3092,100.732,103.801,104.226,126.16,69.8781,81.04
2017-09-15,220.699,59.4862,38.5374,100.712,103.847,104.167,125.53,70.0069,81.6
2017-09-18,221.148,59.5645,38.6739,100.662,103.247,104.117,124.36,69.6314,81.36
2017-09-19,221.376,59.8433,38.7572,100.602,102.994,103.989,124.62,69.1713,80.88
2017-09-20,221.456,59.7141,38.5795,100.512,103.071,103.692,123.62,68.9796,81.92
2017-09-21,220.862,59.5918,38.5795,100.492,103.011,103.464,122.68,68.8499,82.0
2017-09-22,220.9,59.7738,38.3606,100.572,103.301,103.721,123.24,68.3603,81.92
2017-09-25,220.479,59.4334,37.7095,100.821,103.952,104.018,124.53,68.7594,84.4
2017-09-26,220.603,59.3042,37.6088,100.781,103.753,103.939,123.14,68.8754,83.92
2017-09-27,221.446,59.3453,37.4731,100.473,102.207,103.622,121.98,68.2522,84.16
2017-09-28,221.714,59.5038,37.4493,100.483,101.906,103.553,122.21,68.7172,83.44
2017-09-29,222.516,59.8531,37.878,100.403,102.134,103.325,121.58,68.8587,83.44
2017-10-02,223.465,59.8012,37.8862,100.463,101.94,103.177,120.77,68.7594,81.68
2017-10-03,223.934,60.0018,38.488,100.552,102.034,103.285,120.83,68.6592,81.44
2017-10-04,224.192,59.8893,38.4797,100.522,102.042,103.365,121.17,69.0101,80.64
2017-10-05,225.55,59.8531,38.7644,100.473,101.658,103.266,120.52,69.2568,82.0
2017-10-06,225.283,59.81,38.573,100.333,101.367,103.177,121.09,69.0327,79.76
2017-10-09,224.911,59.8276,38.5456,100.463,101.694,103.216,122.08,69.1988,80.0
2017-10-10,225.514,60.397,38.9285,100.473,101.873,103.394,122.4,69.4053,82.24
2017-10-11,225.856,60.5447,39.1052,100.492,102.051,103.533,122.79,69.6383,82.88
2017-10-12,225.533,60.4919,39.0887,100.622,102.504,103.711,122.89,70.0845,81.84
2017-10-13,225.801,60.8079,39.4431,100.871,103.22,103.86,123.82,70.2674,82.96
2017-10-16,226.096,60.7619,39.4166,100.772,103.14,103.632,122.97,69.9184,83.68
2017-10-17,226.25,60.6044,39.214,100.742,103.275,103.434,122.13,70.0019,83.92
2017-10-18,226.479,60.7786,39.3075,100.572,102.61,103.315,121.67,69.9263,83.84
2017-10-19,226.536,60.6817,38.9604,100.652,102.779,103.444,122.39,69.7209,82.8
2017-10-20,227.713,60.6044,39.1052,100.353,101.694,103.206,121.61,69.3227,83.44
2017-10-23,226.795,60.4743,38.792,100.463,101.881,103.216,121.8,69.0583,83.36
2017-10-24,227.207,60.5702,38.792,100.254,101.226,103.078,121.33,68.6444,84.32
2017-10-25,226.096,60.3354,38.7067,100.184,100.74,102.959,121.35,68.4439,83.84
2017-10-26,226.394,60.3266,38.4447,100.074,100.38,102.929,120.33,67.8806,84.56
2017-10-27,228.252,60.4665,39.0026,100.303,101.068,103.246,120.9,68.1863,86.72
2017-10-30,227.388,60.6044,38.7572,100.572,102.051,103.523,121.13,68.1293,86.96
2017-10-31,227.751,60.8578,39.1207,100.502,102.089,103.573,120.67,68.1205,87.44
2017-11-01,228.068,60.9194,39.3258,100.552,102.556,103.662,121.11,68.4537,87.2
2017-11-02,228.154,61.1024,39.3734,100.612,102.984,103.82,121.19,69.0327,87.92
2017-11-03,228.891,61.0075,39.172,100.712,103.257,103.899,120.62,68.8587,89.44
2017-11-06,229.236,61.0936,39.6107,100.801,103.635,104.078,121.65,69.3227,92.08
2017-11-07,229.084,60.8666,39.3561,100.831,104.086,104.236,121.21,69.888,91.92
2017-11-08,229.476,61.0691,39.5439,100.762,103.828,104.167,121.63,70.234,91.28
2017-11-09,228.64,60.7199,39.2985,100.692,103.537,104.147,122.13,70.3097,91.68
2017-11-10,228.587,60.5516,39.1299,100.283,102.016,103.672,121.13,70.3834,91.36
2017-11-13,228.787,60.2992,39.0456,100.283,102.224,103.662,121.31,70.7383,91.04
2017-11-14,228.272,60.2551,38.7827,100.383,102.899,103.791,121.56,70.5909,89.04
2017-11-15,227.1,59.9675,38.5795,100.572,104.013,104.098,121.41,69.881,88.72
2017-11-16,229.035,60.4479,39.3817,100.463,103.106,103.87,121.4,70.4591,88.56
2017-11-17,228.382,60.2287,39.5778,100.572,103.873,104.058,122.86,70.1504,90.8
2017-11-20,228.757,60.3598,39.7801,100.512,103.838,103.899,121.31,69.945,90.24
2017-11-21,230.269,60.8157,40.3131,100.622,104.169,103.89,121.51,70.467,91.2
2017-11-22,230.058,60.9811,40.4139,100.801,104.491,104.216,122.63,70.3097,92.8
2017-11-24,230.595,61.481,40.3316,100.781,104.209,104.078,122.32,70.4011,94.32
2017-11-27,230.48,61.1112,39.738,100.781,104.066,104.058,122.83,70.0688,92.72
2017-11-28,232.787,61.4614,40.0347,100.781,104.193,104.048,122.81,69.8014,92.64
2017-11-29,232.652,61.2168,39.4,100.522,103.182,103.751,122.04,69.829,91.76
2017-11-30,234.701,61.2775,38.9696,100.363,102.83,103.652,121.1,69.9361,91.76
2017-12-01,234.222,61.0329,38.7506,100.652,104.209,104.048,121.59,70.1023,93.36
2017-12-04,233.944,60.8157,38.8249,100.642,104.258,104.088,121.18,69.7562,91.92
2017-12-05,233.065,60.6817,38.8011,100.752,104.751,104.206,120.32,69.1753,92.32
2017-12-06,233.112,60.5614,38.2774,100.841,105.124,104.325,120.07,69.1084,89.6
2017-12-07,233.888,60.7199,38.3871,100.722,104.312,104.177,118.49,69.2814,90.64
2017-12-08,235.15,61.0427,38.8343,100.682,104.321,104.127,118.48,69.6383,91.92
2017-12-11,235.86,61.1983,39.0293,100.642,104.123,104.038,118.01,69.6314,92.8
2017-12-12,236.261,61.2775,38.7644,100.592,104.076,104.127,118.15,69.9705,91.52
2017-12-13,236.234,61.5143,39.2297,100.881,104.834,104.325,119.17,70.0845,90.64
2017-12-14,235.275,61.1728,38.9422,100.911,105.286,104.325,118.93,70.0688,91.44
2017-12-15,237.256,61.1552,39.0293,100.94,105.7,104.325,119.18,70.5092,91.68
2017-12-18,238.73,61.8821,39.466,100.811,104.722,104.127,119.73,70.9732,91.52
2017-12-19,237.819,61.6512,39.2617,100.502,103.397,103.8,119.82,69.4643,92.08
2017-12-20,237.697,61.5465,39.3139,100.283,102.252,103.464,120.14,68.6592,92.88
2017-12-21,238.186,61.7657,39.5713,100.373,102.83,103.731,120.31,68.3898,93.12
2017-12-22,238.126,61.9252,39.9056,100.413,102.966,103.791,120.94,68.8617,93.28
2017-12-26,237.838,61.9095,39.8718,100.492,103.275,103.89,121.77,69.2068,95.6
2017-12-27,237.966,62.022,39.9752,100.821,104.603,104.345,122.23,69.4328,95.36
2017-12-28,238.452,62.0562,40.249,100.752,104.515,104.375,122.85,69.8014,95.76
2017-12-29,237.553,62.1003,40.4376,100.841,104.703,104.642,123.65,69.83,96.08
2018-01-02,239.248,62.5601,41.2023,100.702,103.546,104.385,125.15,69.5684,96.56
2018-01-03,240.749,62.8614,41.5952,100.712,104.049,104.484,124.82,69.3669,98.72
2018-01-04,241.783,63.5502,41.8032,100.642,104.032,104.513,125.46,68.1726,98.96
2018-01-05,243.408,63.9053,42.163,100.572,103.731,104.494,125.33,68.205,98.48
2018-01-08,243.843,63.8867,42.163,100.542,103.655,104.385,125.31,68.557,99.04
2018-01-09,244.377,63.9562,42.0953,100.273,102.302,104.028,124.73,67.6742,100.56
