model,metric,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec
baseline_ols,type1_error,,,,1.000000,0.950000,1,1,0.004
baseline_ols,power,0.10,0.100000,0.100000,0.000000,,0,1,0.003
sparse_lasso,type1_error,,,,0.000000,-0.050000,0,1,0.016
sparse_lasso,power,0.10,0.100000,0.100000,0.000000,,0,1,0.015
lowrank_svd,type1_error,,,,1.000000,0.950000,1,1,0.006
lowrank_svd,power,0.10,0.100000,0.100000,0.000000,,0,1,0.005
