scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,seed_count
aggregate,,baseline_ols,type1_error,4,,,,0.25,0.25,0.2,1.0,4.0,0.5755430459976196,2
aggregate,,baseline_ols,type1_error,6,,,,0.41666666666666663,0.08333333333333334,0.3666666666666667,2.5,6.0,0.8293676376342773,2
