B,n_seed,chi2_p_value_mean,chi2_p_value_ci95_low,chi2_p_value_ci95_high,chi2_p_value_sd,chi2_p_value_n,f_asymptotic_p_value_mean,f_asymptotic_p_value_ci95_low,f_asymptotic_p_value_ci95_high,f_asymptotic_p_value_sd,f_asymptotic_p_value_n,bootstrap_lr_p_value_mean,bootstrap_lr_p_value_ci95_low,bootstrap_lr_p_value_ci95_high,bootstrap_lr_p_value_sd,bootstrap_lr_p_value_n,bootstrap_f_p_value_mean,bootstrap_f_p_value_ci95_low,bootstrap_f_p_value_ci95_high,bootstrap_f_p_value_sd,bootstrap_f_p_value_n,abs_diff_boot_lr_vs_chi2_mean,abs_diff_boot_lr_vs_chi2_ci95_low,abs_diff_boot_lr_vs_chi2_ci95_high,abs_diff_boot_lr_vs_chi2_sd,abs_diff_boot_lr_vs_chi2_n
100,3,0.7016965503712219,0.5218897054294207,0.8369149170031718,0.17191380055631658,3,0.7345160213127903,0.5941102136032883,0.8632577796710529,0.1421542283344111,3,0.7666666666666667,0.6845,0.846,0.0850490054811538,3,0.73,0.661,0.8415,0.10440306508910546,3,0.06497011629544473,0.009085082996828175,0.1626102945705793,0.09131777860755132,3
300,3,0.7016965503712219,0.5218897054294207,0.8369149170031718,0.17191380055631658,3,0.7345160213127903,0.5941102136032883,0.8632577796710529,0.1421542283344111,3,0.7544444444444446,0.597,0.8788333333333334,0.1521086356425467,3,0.7277777777777777,0.5845,0.8663333333333333,0.14841134028747913,3,0.05274789407322248,0.039323890007654315,0.07525443492182964,0.021053531270715315,3
500,3,0.7016965503712219,0.5218897054294207,0.8369149170031718,0.17191380055631658,3,0.7345160213127903,0.5941102136032883,0.8632577796710529,0.1421542283344111,3,0.7606666666666667,0.5882,0.8827,0.16329523365160828,3,0.7393333333333333,0.5891,0.8703,0.1492961263172402,3,0.058970116295444686,0.0457850829968282,0.0663102945705792,0.012335391418227395,3
