scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,rejections_total,effective_iterations_total,mc_se_pooled,ci95_low,ci95_high,runtime_sec_mean,seed_count,target_fro_mean,actual_fro_mean,perturbation_types
aggregate,,sparse_lasso_n20,type1_error,2000,,,,0.058,0.0,0.008,116.0,2000.0,116,2000,0.0052266624149642565,0.04775574166667006,0.06824425833332995,796.1491153240204,1,,,
aggregate,,sparse_lasso_n20,power,500,0.05,0.05,,0.076,0.0,,38.0,500.0,,,,,,207.53527402877808,1,0.05,0.04999999999999997,sparse
aggregate,,sparse_lasso_n20,power,500,0.1,0.1,,0.054,0.0,,27.0,500.0,,,,,,201.25865197181702,1,0.1,0.10000000000000003,sparse
aggregate,,sparse_lasso_n20,power,500,0.15,0.15,,0.05,0.0,,25.0,500.0,,,,,,202.50840497016907,1,0.15,0.14999999999999997,sparse
aggregate,,sparse_lasso_n20,power,500,0.2,0.2,,0.076,0.0,,38.0,500.0,,,,,,205.61679482460022,1,0.2,0.20000000000000007,sparse
aggregate,,sparse_lasso_n20,power,500,0.3,0.3,,0.066,0.0,,33.0,500.0,,,,,,201.43811106681824,1,0.3,0.29999999999999993,sparse
aggregate,,sparse_lasso_n20,power,500,0.5,0.5,,0.17,0.0,,85.0,500.0,,,,,,207.5960021018982,1,0.5,0.5,sparse
aggregate,,sparse_lasso_n30,type1_error,50,,,,0.1,0.0,0.05,5.0,50.0,5,50,0.042426406871192854,0.016844242532462014,0.18315575746753798,32.49228525161743,1,,,
aggregate,,sparse_lasso_n30,type1_error,100,,,,0.09,0.0,0.039999999999999994,9.0,100.0,9,100,0.02861817604250837,0.03390837495668359,0.1460916250433164,62.24802589416504,1,,,
aggregate,,sparse_lasso_n30,type1_error,300,,,,0.11666666666666667,0.0,0.06666666666666667,35.0,300.0,35,300,0.01853425257512475,0.08033953161942216,0.1529938017139112,201.0876522064209,1,,,
aggregate,,sparse_lasso_n30,type1_error,500,,,,0.094,0.0,0.044,47.0,500.0,47,500,0.013050976974924139,0.06842008512914868,0.11957991487085132,348.2697253227234,1,,,
aggregate,,sparse_lasso_n30,type1_error,1000,,,,0.104,0.0,0.05399999999999999,104.0,1000.0,104,1000,0.009653186002558949,0.08507975543498446,0.12292024456501553,629.7487170696259,1,,,
aggregate,,sparse_lasso_n30,type1_error,2000,,,,0.102,0.0,0.05199999999999999,204.0,2000.0,204,2000,0.0067674219611311365,0.08873585295618297,0.11526414704381702,1361.0604419708252,1,,,
aggregate,,sparse_lasso_n30,power,500,0.05,0.05,,0.1,0.0,,50.0,500.0,,,,,,332.826514005661,1,0.05,0.049999999999999996,sparse
aggregate,,sparse_lasso_n30,power,500,0.1,0.1,,0.138,0.0,,69.0,500.0,,,,,,330.5948190689087,1,0.1,0.10000000000000005,sparse
aggregate,,sparse_lasso_n30,power,500,0.15,0.15,,0.106,0.0,,53.0,500.0,,,,,,355.39240288734436,1,0.15,0.14999999999999994,sparse
aggregate,,sparse_lasso_n30,power,500,0.2,0.2,,0.106,0.0,,53.0,500.0,,,,,,339.0104489326477,1,0.2,0.2,sparse
aggregate,,sparse_lasso_n30,power,500,0.3,0.3,,0.144,0.0,,72.0,500.0,,,,,,337.73424792289734,1,0.3,0.3,sparse
aggregate,,sparse_lasso_n30,power,500,0.5,0.5,,0.16,0.0,,80.0,500.0,,,,,,337.6088888645172,1,0.5,0.5,sparse
aggregate,,lowrank_svd_n20,type1_error,50,,,,0.16,0.0,0.11,8.0,50.0,8,50,0.05184592558726288,0.05838198584896476,0.26161801415103525,2.5025830268859863,1,,,
aggregate,,lowrank_svd_n20,type1_error,100,,,,0.1,0.0,0.05,10.0,100.0,10,100,0.030000000000000002,0.0412,0.1588,3.389564037322998,1,,,
aggregate,,lowrank_svd_n20,type1_error,300,,,,0.15333333333333332,0.0,0.10333333333333332,46.0,300.0,46,300,0.020802421511466898,0.1125605871708582,0.19410607949580844,11.010568857192993,1,,,
aggregate,,lowrank_svd_n20,type1_error,500,,,,0.162,0.0,0.112,81.0,500.0,81,500,0.016477621187537962,0.1297038624724256,0.1942961375275744,19.101147890090942,1,,,
aggregate,,lowrank_svd_n20,type1_error,1000,,,,0.156,0.0,0.106,156.0,1000.0,156,1000,0.011474493452871897,0.13350999283237108,0.17849000716762892,36.89280986785889,1,,,
aggregate,,lowrank_svd_n20,type1_error,2000,,,,0.1675,0.0,0.11750000000000001,335.0,2000.0,335,2000,0.008349962574766428,0.1511340733534578,0.18386592664654222,68.16955089569092,1,,,
aggregate,,lowrank_svd_n20,power,500,0.05,0.05,,0.142,0.0,,71.0,500.0,,,,,,18.84454321861267,1,0.05,0.05,lowrank
aggregate,,lowrank_svd_n20,power,500,0.1,0.1,,0.154,0.0,,77.0,500.0,,,,,,19.167922019958496,1,0.1,0.09999999999999999,lowrank
aggregate,,lowrank_svd_n20,power,500,0.15,0.15,,0.152,0.0,,76.0,500.0,,,,,,20.900257110595703,1,0.15,0.15,lowrank
aggregate,,lowrank_svd_n20,power,500,0.2,0.2,,0.154,0.0,,77.0,500.0,,,,,,19.832812070846558,1,0.2,0.2,lowrank
aggregate,,lowrank_svd_n20,power,500,0.3,0.3,,0.222,0.0,,111.0,500.0,,,,,,19.73564600944519,1,0.3,0.3,lowrank
aggregate,,lowrank_svd_n20,power,500,0.5,0.5,,0.37,0.0,,185.0,500.0,,,,,,18.97541093826294,1,0.5,0.5,lowrank
aggregate,,lowrank_svd_n30,type1_error,50,,,,0.22,0.0,0.16999999999999998,11.0,50.0,11,50,0.05858327406350724,0.10517678283552581,0.33482321716447416,2.620842933654785,1,,,
aggregate,,lowrank_svd_n30,type1_error,100,,,,0.21,0.0,0.15999999999999998,21.0,100.0,21,100,0.0407308237088326,0.13016758553068808,0.2898324144693119,4.8764519691467285,1,,,
aggregate,,lowrank_svd_n30,type1_error,300,,,,0.19,0.0,0.14,57.0,300.0,57,300,0.02264950330581225,0.145606973520608,0.234393026479392,15.98930287361145,1,,,
aggregate,,lowrank_svd_n30,type1_error,500,,,,0.236,0.0,0.186,118.0,500.0,118,500,0.018989681408596616,0.1987802244391506,0.27321977556084937,25.958962202072144,1,,,
aggregate,,lowrank_svd_n30,type1_error,1000,,,,0.193,0.0,0.14300000000000002,193.0,1000.0,193,1000,0.012480024038438387,0.16853915288466076,0.21746084711533925,47.72071886062622,1,,,
aggregate,,lowrank_svd_n30,type1_error,2000,,,,0.2105,0.0,0.16049999999999998,421.0,2000.0,421,2000,0.009115639034099584,0.1926333474931648,0.2283666525068352,95.2449688911438,1,,,
aggregate,,lowrank_svd_n30,power,500,0.05,0.05,,0.244,0.0,,122.0,500.0,,,,,,25.85755491256714,1,0.05,0.049999999999999996,lowrank
aggregate,,lowrank_svd_n30,power,500,0.1,0.1,,0.19,0.0,,95.0,500.0,,,,,,26.078721046447754,1,0.1,0.1,lowrank
aggregate,,lowrank_svd_n30,power,500,0.15,0.15,,0.242,0.0,,121.0,500.0,,,,,,26.252805948257446,1,0.15,0.15,lowrank
aggregate,,lowrank_svd_n30,power,500,0.2,0.2,,0.228,0.0,,114.0,500.0,,,,,,26.15966010093689,1,0.2,0.2,lowrank
aggregate,,lowrank_svd_n30,power,500,0.3,0.3,,0.282,0.0,,141.0,500.0,,,,,,26.079734802246094,1,0.3,0.3,lowrank
aggregate,,lowrank_svd_n30,power,500,0.5,0.5,,0.406,0.0,,203.0,500.0,,,,,,26.20543909072876,1,0.5,0.5,lowrank
